x,y,time
870.515,363.647,844719684178
870.555,363.363,844719714524
871.272,363.767,844719744677
871.92,364.849,844719774927
872.048,365.692,844719805080
868.066,372.75,844719835223
843.863,420.588,844719865569
812.718,485.326,844719895837
786.946,534.744,844719926192
771.142,564.458,844719956442
766.952,576.638,844719986585
772.328,575.375,844720016931
773.971,577.672,844720047005
775.706,579.162,844720077342
776.999,579.164,844720107582
778.026,578.979,844720137648
778.5,578.716,844720167801
778.45,578.676,844720198050
778.109,578.777,844720228414
778.39,579.544,844720258673
778.674,580.178,844720288826
779.501,579.552,844720318882
779.494,578.869,844720349246
779.624,578.364,844720379610
779.545,575.16,844720409667
781.512,530.815,844720439714
785.438,467.224,844720469752
789.389,417.105,844720499886
791.308,387.413,844720530232
794.275,372.463,844720560280
795.782,366.368,844720590432
798.424,360.039,844720620681
800.689,355.038,844720650922
801.177,351.142,844720681075
805.049,345.795,844720711131
808.316,339.235,844720741284
810.967,333.393,844720771630
813.433,330.054,844720801869
815.087,328.262,844720832215
816.63,328.156,844720862272
817.181,327.827,844720892618
818.086,327.443,844720922674
819.548,327.408,844720953020
817.975,330.523,844720983076
815.32,335.311,844721013422
810.604,344.296,844721043787
806.862,354.501,844721073834
801.818,363.761,844721104180
789.771,376.415,844721134245
768.804,393.6,844721164609
750.615,408.905,844721194648
736.228,420.65,844721224810
725.905,429.089,844721255058
720.441,434.617,844721285413
718.805,437.715,844721315566
717.243,439.591,844721345816
714.918,442.804,844721375969
713.985,445.951,844721406209
713.73,447.437,844721436555
713.239,448.571,844721466611
712.431,449.581,844721496755
712.338,450.637,844721527005
712.235,452.039,844721557157
712.126,452.863,844721587406
711.671,453.336,844721617559
711.229,454.2,844721647827
710.887,454.988,844721678173
710.454,455.324,844721708211
694.424,468.713,844721738364
649.463,535.495,844721768710
605.703,604.306,844721799056
573.65,652.305,844721829218
552.955,676.887,844721859555
548.916,689.699,844721889611
542.922,697.456,844721919957
538.677,703.401,844721950293
516.369,696.909,844721980543
504.456,685.407,844722010599
498.399,679.012,844722040655
494.886,674.466,844722070712
491.238,671.32,844722100846
488.814,669.087,844722131202
487.053,667.368,844722161248
486.624,665.22,844722191594
484.255,659.247,844722221651
482.079,653.07,844722251918
480.584,647.152,844722281974
478.985,642.612,844722312320
477.829,639.384,844722342473
478.194,637.145,844722372705
477.435,635.63,844722402760
476.43,633.574,844722433097
482.688,543.316,844722463443
515.17,348.383,844722493518
540.449,217.234,844722523555
552.806,155.497,844722553699
557.375,131.213,844722583930
558.163,119.814,844722614083
562.806,117.616,844722644333
565.309,115.785,844722674485
564.612,112.784,844722704744
600.408,108.075,844722735090
628.551,106.786,844722765399
648.364,105.149,844722795437
662.991,103.625,844722825783
671.621,102.508,844722855838
678.069,102.243,844722886185
682.479,102.55,844722916434
685.566,103.369,844722946587
715.343,111.841,844722976837
756.93,125.671,844723006902
794.567,137.069,844723037045
822.177,144.091,844723067295
840.208,152.047,844723097466
853.503,157.301,844723127803
864.194,159.238,844723158149
900.038,148.576,844723188398
933.676,139.902,844723218454
957.203,131.857,844723248626
973.857,127.316,844723278875
986.72,126.338,844723308913
996.081,125.801,844723339268
1001.26,124.741,844723369421
1035.12,119.743,844723399671
1064.25,118.283,844723429744
1084.83,117.784,844723460072
1100.52,117.117,844723490129
1111.73,117.645,844723520475
1117.96,119.438,844723550821
1121.78,121.585,844723580896
1124.87,123.184,844723611242
1127.26,125.317,844723641297
1129.72,127.0,844723671529
1143.53,184.754,844723701682
1156.06,280.413,844723732027
1167.31,347.096,844723762276
1174.07,381.78,844723792622
1177.79,400.779,844723822872
1179.96,411.715,844723853025
1179.34,418.634,844723883284
1178.69,425.372,844723913437
1176.95,452.131,844723943704
1143.29,598.435,844723974032
1121.27,699.856,844724004378
1110.54,752.008,844724034637
1103.87,776.105,844724064982
1099.59,785.139,844724095283
1088.76,793.823,844724125537
1075.52,800.509,844724155592
1063.87,804.058,844724185938
1054.03,806.847,844724215995
1049.61,809.305,844724246341
1046.72,810.447,844724276397
1046.32,812.378,844724306743
1045.99,813.826,844724336817
1045.0,815.536,844724366970
1044.55,817.175,844724397316
1040.67,811.138,844724427566
1039.33,777.681,844724457612
1039.93,718.831,844724487660
1039.17,668.126,844724517735
1038.15,633.144,844724548081
1038.08,615.282,844724578311
1037.5,606.191,844724608464
1038.99,600.744,844724638617
1040.12,597.178,844724668867
1041.92,595.599,844724699213
1043.81,594.192,844724729268
1044.38,591.955,844724759614
1044.62,590.031,844724789671
1029.51,595.012,844724820017
929.45,659.68,844724850169
774.491,760.53,844724880516
672.955,825.516,844724910678
624.49,859.862,844724941024
600.893,878.364,844724971379
588.707,886.001,844725001531
583.111,889.086,844725031781
566.181,890.349,844725061953
555.525,893.707,844725092008
548.178,895.369,844725122258
541.342,895.696,844725152411
536.97,894.57,844725182545
534.53,894.444,844725212900
531.342,894.631,844725243140
534.377,891.594,844725273408
537.287,889.364,844725303561
538.757,887.63,844725333714
539.818,886.279,844725363964
540.903,884.923,844725394125
541.831,883.67,844725424374
543.145,881.807,844725454720
544.595,880.113,844725484795
546.35,879.104,844725515114
545.063,877.684,844725545267
544.381,875.87,844725575515
543.859,874.204,844725605668
543.557,873.304,844725636005
543.473,872.593,844725666255
543.482,872.004,844725696311
543.692,871.994,844725726657
600.827,873.584,844725756713
749.768,877.968,844725786963
869.389,878.854,844725817202
939.163,879.404,844725847425
979.051,882.69,844725877679
1002.6,886.94,844725907836
1016.32,888.518,844725938090
1024.24,887.851,844725968265
1028.23,887.076,844725998519
1031.81,889.034,844726028677
1034.69,890.173,844726058913
1035.39,889.128,844726089070
1032.97,884.294,844726119342
1030.53,880.924,844726149482
1029.26,878.685,844726179625
1028.35,876.933,844726209875
1027.32,875.883,844726240138
1026.54,874.349,844726270392
1025.72,872.532,844726300549
1025.12,871.336,844726330803
1024.87,870.13,844726361057
1024.56,869.034,844726391104
1024.37,868.408,844726421353
1024.27,868.255,844726451616
1023.98,867.775,844726481774
1023.82,867.231,844726512028
1023.64,867.461,844726542085
1023.6,867.731,844726572431
1023.49,867.735,844726602597
1023.4,867.681,844726632851
1023.23,867.734,844726663105
1023.0,867.885,844726693263
1022.66,867.847,844726723526
995.894,848.489,844726753683
935.253,788.595,844726783739
883.965,732.889,844726813796
852.593,696.867,844726843958
834.556,675.055,844726874013
823.396,661.945,844726904166
814.255,652.438,844726934416
810.876,647.752,844726964578
810.412,644.907,844726994924
808.733,642.311,844727024989
807.669,640.457,844727055142
807.629,639.306,844727085391
805.83,638.752,844727115737
798.837,645.398,844727145996
793.251,650.541,844727176245
788.336,655.337,844727206591
783.927,660.532,844727236744
780.816,664.916,844727266897
777.375,668.95,844727297137
774.443,672.229,844727327202
772.027,674.234,844727357539
762.287,679.12,844727387596
749.101,686.092,844727417757
738.018,693.219,844727447901
729.064,698.886,844727478247
721.178,703.792,844727508304
714.863,706.382,844727538650
710.057,708.083,844727568705
703.248,709.937,844727599051
697.336,710.894,844727629108
694.013,711.507,844727659366
691.195,711.981,844727689721
689.267,713.704,844727719874
687.599,714.51,844727750018
685.905,715.178,844727780258
682.714,715.042,844727810508
679.311,715.178,844727840679
677.081,715.857,844727871007
674.526,716.268,844727901246
672.601,716.028,844727931399
671.661,716.411,844727961658
670.609,716.451,844727991714
670.275,716.614,844728022078
670.189,716.568,844728052231
669.239,716.615,844728082297
668.517,716.609,844728112431
668.222,716.853,844728142690
668.13,717.002,844728172843
669.85,716.491,844728203101
673.76,714.894,844728233341
678.724,711.899,844728263687
685.265,708.506,844728293936
692.648,705.464,844728324089
698.776,702.387,844728354348
713.545,666.199,844728384482
735.936,613.472,844728414539
750.964,572.541,844728444604
760.468,544.466,844728474941
766.389,528.212,844728505191
769.979,516.147,844728535334
771.987,508.774,844728565680
771.29,504.999,844728595736
771.754,503.842,844728626082
774.094,503.273,844728656157
775.927,501.604,844728686503
782.97,490.028,844728716559
790.127,478.317,844728746905
796.237,469.639,844728776961
821.692,463.558,844728807211
847.383,459.991,844728837290
865.152,456.647,844728867627
878.469,454.596,844728897682
890.036,452.53,844728928028
899.16,450.912,844728958269
905.682,449.929,844728988440
911.362,449.865,844729018672
915.201,450.517,844729048815
918.181,450.196,844729078871
919.89,449.979,844729109217
920.289,449.627,844729139457
920.244,449.659,844729169629
919.595,449.815,844729199781
918.966,449.515,844729230030
918.893,449.301,844729260376
918.685,449.439,844729290433
918.379,449.102,844729320779
918.364,449.067,844729350826
916.713,448.428,844729381084
903.89,437.237,844729411237
885.453,420.898,844729441564
869.284,403.919,844729471612
853.983,388.787,844729501774
841.952,377.833,844729531839
832.213,370.793,844729562185
825.721,366.822,844729592435
822.873,364.531,844729622578
821.727,363.457,844729652846
822.444,363.024,844729683008
821.69,362.383,844729713257
820.078,361.768,844729743410
820.392,362.163,844729773756
831.485,368.821,844729803813
863.919,386.584,844729834080
902.632,406.915,844729864426
934.876,425.53,844729894763
956.654,440.464,844729924994
972.256,450.447,844729955165
981.393,457.431,844729985415
987.202,462.254,844730015559
991.444,464.403,844730045807
993.223,465.145,844730076153
994.87,465.388,844730106210
996.276,465.367,844730136556
986.479,463.537,844730166593
972.58,457.681,844730196764
941.467,443.548,844730226862
907.252,427.777,844730257208
880.498,415.397,844730287264
859.934,406.001,844730317514
842.949,400.366,844730347667
831.534,398.408,844730377820
824.447,397.221,844730408069
819.804,396.442,844730438442
817.221,395.17,844730468499
816.56,393.992,844730498827
816.133,392.96,844730529075
814.776,392.085,844730559228
813.689,391.562,844730589285
812.991,390.664,844730619649
812.523,390.457,844730649802
810.099,389.399,844730680052
802.327,383.481,844730710186
795.285,377.572,844730740435
788.798,372.086,844730770588
783.055,367.1,844730800644
778.476,363.508,844730830893
774.067,360.242,844730861239
771.883,357.518,844730891296
769.654,356.003,844730921632
767.549,355.07,844730951707
766.183,355.269,844730982035
766.063,355.317,844731012091
765.559,355.224,844731042437
764.996,354.854,844731072512
764.457,354.451,844731102858
764.007,353.69,844731132932
763.874,353.216,844731163278
763.134,351.157,844731193642
762.288,349.321,844731223699
761.273,347.292,844731254045
760.748,345.826,844731284092
760.35,344.673,844731314438
759.819,343.982,844731344485
759.038,343.551,844731374831
758.626,342.765,844731404983
758.325,341.871,844731435233
757.75,341.51,844731465289
750.389,340.908,844731495653
733.135,338.543,844731525806
713.486,335.872,844731556056
695.08,334.804,844731586199
